name,system_DC_capacity_W,address,orientation,num_outputs,last_output,system_id,panel,inverter,distance_km,latitude,longitude,country
OostaSolar,20475,Finland,W,1355,Yesterday,78594,Longi LR4-72HBD-455M,Fronius Symo 8.2kW+15kW,15.8,67.95541,23.684297,Finland
Far out north,5985,Sweden,S,2752,Yesterday,45811,JA-Solar,Fronius Symo 5.0-3-M,23.1,67.841931,20.275183,Sweden
Balettstigen,4480,Sweden,SE,3106,Yesterday,37400,JA Solar JAM6(L) 60-280/PR,Fronius Symo 4.5-S,14.6,65.793294,21.740582,Sweden
OuluGolf,28000,Finland,SW,792,78 weeks ago,74925,Eurener PEPV 280,SMA Sunny Tripower 25000TL-30,8.6,64.979006,25.704693,Finland
Jäkälätie,3360,Finland,SW,1965,Yesterday,74922,Heckert ,Steca 5003,19.0,64.894502,25.566077,Finland
Holmsunds Elbilsbränslen,5400,Sweden,SE,1362,157 weeks ago,65073,IBC MonoSol 300SX,Fronius Symo,13.3,63.694969,20.362699,Sweden
Husbyn 121,13750,Sweden,SE,2851,Yesterday,46742,CSUN,SolarEdge SE12.5k,24.1,63.353761,19.153033,Sweden
Loke 110,10400,Sweden,SW,2665,47 weeks ago,27698,ReneSola JC260M-24/Bbv,SMA Sunny Tripower 10000TL-10,15.2,62.989254,14.801256,Sweden
Haapala Ranchi,3360,Finland,SW,894,137 weeks ago,67095,Na,ABB Trio 7.5,24.1,62.898229,22.075193,Finland
Tomi's Home,4690,Finland,EW,1473,Yesterday,25916,Trinasolar,Fronius,23.0,62.842162,27.698991,Finland
Myren-Steivang 1,10360,Norway,S,624,Yesterday,91485,.,Growatt,24.2,62.267863,10.743685,Norway
Hormikuja Kauhajoki,5700,Finland,S,1556,70 weeks ago,62654,Astronergy,Fronius Symo Hybrid 5.0-3-S,9.1,62.410173,22.182223,Finland
Oikari,4320,Finland,S,651,171 weeks ago,67205,Trisolar,-,12.9,62.402599,25.522925,Finland
Antinmutka 16,4400,Finland,S,1836,Yesterday,65728,csun 275-60p,Fronius Symo 6.0-3-m,16.6,62.158969,25.750248,Finland
Oksakuja,6840,Finland,SE,399,Yesterday,94490,,Fronius 6.0,16.6,62.15492,25.758133,Finland
Umhvørvisstovan,11200,Faroe Islands,N,1308,Yesterday,79735,Hyundai HIS-S280RG,Fronius Symo 10.0-3-M,5.6,61.99721,-6.783092,Faroe Islands
Mutalasolar 1,7000,Finland,S,3211,Yesterday,36063,Solarwatt Blue 60p,SMA Sunny Tripower 7000TL,20.2,61.647694,23.712327,Finland
kk10,6400,Finland,S,1729,Yesterday,69405,Vikram,Fronius Symo,15.2,61.477629,23.932117,Finland
Jäkälä,8200,Finland,W,384,Yesterday,94864,Astroenergy,Growatt MOD 7000TL3-X,16.9,61.46157,23.822351,Finland
Kangasala,2340,Finland,SW,1796,15 days ago,58652,SunRise,3 x MPP PIP5048MK,10.4,61.46183,24.223846,Finland
Uusitalo,5200,Finland,SE,2098,Yesterday,61243,Vikram ELDORA VSPB.60.AAA.03,Fronius Symo 5.0-3-M,16.4,61.378562,23.778052,Finland
Aurinko_sepi,4240,Finland,S,763,77 weeks ago,54715,Trinasolar,Fronius symo,21.4,60.98818,24.301555,Finland
Aurinko_Makinen,2650,Finland,SW,2284,Yesterday,54610,Trinasolar,Fronius symo ,23.3,60.979937,24.418606,Finland
Varme & Rorteknik AB,10860,Sweden,SE,1837,Yesterday,66798,Dmegc Solitek LG Viessmann,Solaredge SE6K,3.8,60.932513,16.543976,Sweden
HamppuFarmi,18090,Finland,S,1677,Today,72708,HT Solar Half-cell monocrystal,Fronius Symo,6.3,60.693615,22.950036,Finland
Koti,5200,Finland,E,4437,Today,5683,GEF,Fronius,5.4,60.704727,24.743099,Finland
Per Ohman,3360,Sweden,S,1799,Today,36114,blge,ABB trio 5.8,12.0,60.466464,15.461595,Sweden
Strandbro,11250,Sweden,SW,2695,163 weeks ago,19529,ET-P660WW,SMA STP10000TL-10,14.9,60.423402,15.443248,Sweden
Grasbo1,3480,Sweden,SE,3380,Today,31155,Schutten Solar STP6-290/72,SMA SB 3000TL-21,23.2,60.12988,17.115852,Sweden
Orvik-Solproduktion,7420,Sweden,S,421,24 weeks ago,50986,PPAM Paladium,SMA 6000TL-20,10.0,60.285574,18.330147,Sweden
Sjevik,9600,Finland,S,688,Yesterday,88680,Longi LR6-60HPH-320M,Sungrow SG6KTL-MT,8.8,60.308821,20.057387,Finland
Lunken,12000,Finland,SW,3479,58 weeks ago,20216,Jinko  JKM250P,SMA Tripower 12000 TL,20.2,60.13798,19.892947,Finland
Herskapshuset #2,4355,Norway,S,2251,Today,58143,Recom Black Panther Mono 72,Fronius Primo,23.9,59.916022,10.848646,Norway
Herskapshuset #1,4690,Norway,S,2252,Today,58127,Recom Black Panther Mono 72,Fronius Primo,23.9,59.916011,10.848624,Norway
Herskapshuset (Total),9045,Norway,S,2235,Today,58151,Recom Black Panther Mono 72,Fronius Primo,23.9,59.915989,10.848667,Norway
P33 10.8kw,10830,Norway,S,1118,Today,76698,BISOL 325w Mono Project,Fronius Symo 6.0.3,22.4,60.007912,11.148376,Norway
PV P33 4.4kw,4410,Norway,W,2934,Today,32271,Solarfennel PS6A-245,SMA Sunny Boy 3600 TL,22.5,60.009049,11.145169,Norway
Fronius 6.4kw,6500,Norway,S,1375,Today,78323,BISOL 325w Mono Project,Fronius Symo 6.0.3,22.5,60.008828,11.145201,Norway
RAPPENS,8800,Sweden,S,1484,Today,74719,China,SolarEdge/SE10K,14.4,60.043783,14.724137,Sweden
Rosengatan28,3000,Sweden,S,2738,162 weeks ago,21926,CSUN250-60P,Samil SolarRiver 3000TL,20.0,59.932786,16.57057,Sweden
Skänklåtsvägen 13,12505,Sweden,SW,1118,Today,71345,Astroenergy,Fronius,8.2,60.030516,17.54564,Sweden
Kungsfjällen,12960,Sweden,N,2279,Today,57432,Jinko,SolarEdge,24.5,60.079647,17.982935,Sweden
Ekenäs Energi BIO 4,12720,Finland,S,1429,16 weeks ago,67423,SaloSolar 265wP,SolarEdge SE10K,5.6,60.058919,23.630315,Finland
lider,2120,Finland,S,410,Today,98358,salo solar,Fronius Symo 3.0-3-S,13.8,60.06158,23.817576,Finland
Henrisol,5810,Finland,S,2518,Today,53719,JaSolar 4BB 335 HC,fronius symo 6.0-3-M,14.8,60.000041,23.417375,Finland
Knut - 500WSolar,795,Norway,N,2231,Today,27635,Yingli YL265P-29b & ND-RJ270W,MARS ROCK GTI1000,15.6,59.752008,10.00714,Norway
Nordstrand,4800,Norway,S,1114,26 weeks ago,74688,Solitek Standard M.60 300W,Ginlong Solis 3P6K-4G-LV,7.1,59.881687,10.805473,Norway
SMA-5000,4290,Norway,S,1051,Today,82425,Sunpower,SMA 4005,20.1,59.714868,10.834923,Norway
Sexmansgarden,18900,Sweden,S,3660,Today,30395,Eoplly 156P/60-240W,Fronius Symo 17.5-3-M,20.3,59.745994,14.990601,Sweden
Sebeks solcell 3 Ransta,2400,Sweden,E,3805,Today,19720,SPD,SMA Sunny Boy 2100TL,18.6,59.810787,16.637314,Sweden
Sebeks solcell 2 Ransta,4880,Sweden,S,3829,5 weeks ago,19719,ZnShine ZX/P6 & STP 250-20/Wd,SMA Sunny Boy 4000TL-20,18.7,59.810758,16.636955,Sweden
Solkalas Uppsala,15900,Sweden,S,1544,30 weeks ago,70316,JA Solar JAM60S02,Fronius Symo 12.5-3-M,9.6,59.863631,17.625901,Sweden
Sveddis,19470,Sweden,S,1666,Today,71322,LG,SolarEdge,12.4,59.801173,17.651918,Sweden
Fox cub street,11160,Sweden,SW,1112,Today,83462,Longi Solar Mono 360,Fronius Symo,15.3,59.751,17.786548,Sweden
Port Of Hanko,53460,Finland,S,1829,Today,67596,SaloSolar 5BB SS330P,SolarEdge SE25K-RW000BNN4,7.7,59.819699,22.946232,Finland
Huset,16290,Norway,S,822,3 days ago,86582,Ja Solar,Growatt,15.4,59.542324,5.348625,Norway
Barkarö bygata 251,1920,Sweden,SE,758,Yesterday,67097,Q-cell,Steca,14.0,59.60596,16.54129,Sweden
Bylehyddan,6500,Sweden,S,2622,Yesterday,51240,Amerisolar,Solar Edge,6.7,59.678338,18.153245,Sweden
OakVillage1,9360,Sweden,S,814,Yesterday,86937,Trina Solar,Sungrow,14.3,59.54463,18.054829,Sweden
iZONNET,5500,Sweden,S,2769,Yesterday,50504,Trinasolar TSM-DD05A,SolarEdge SE5K,19.2,59.628539,17.704383,Sweden
Fluffy's Hideout,13650,Sweden,S,647,Yesterday,92916,SOLARWATT Vision 60M,SMA STP 15000tl-30 ,19.5,59.500318,18.088704,Sweden
Sjökarby  Åkersberga,13250,Sweden,S,4149,Yesterday,29092,Yingli YL265C-30b,Solaredge 15E,24.2,59.504996,18.307311,Sweden
GOSVAGEN61,10230,Sweden,SE,1469,Yesterday,92619,JAM60S10-330,Growatt 10000 TL3,22.3,59.333956,13.506929,Sweden
PUNDET2,7930,Sweden,S,1809,Yesterday,67884,Longi Solar LR6-60PB,SolarEdge SE7K,9.0,59.402553,15.8542,Sweden
Stensater,9280,Sweden,SE,2714,Yesterday,98710,LG320N1C-G4,STP 8000TL-20 448,16.9,59.39608,16.309553,Sweden
Klyvarestigen 29A,11840,Sweden,E,1490,Yesterday,75802,Jinko 370,Solaredge s10,19.0,59.342336,17.67696,Sweden
Falkv,12600,Sweden,SE,1974,Yesterday,64092,Axis,Solaredge,11.7,59.427814,18.077714,Sweden
ToobTäby,12915,Sweden,S,2117,Yesterday,59492,LG 315N1K-A5,SolarEdge,12.4,59.445951,18.057909,Sweden
Rotemansbacken 2,14700,Sweden,SE,1737,Yesterday,69768,SunPower X21 Black 350W,Solaredge SE17K,22.6,59.384448,17.904207,Sweden
NorthCross,6120,Estonia,SE,756,56 weeks ago,83345,ZN Shine ZXP6-60-225/P,StecaGrid 5503,13.6,59.46538,24.440074,Estonia
Valdek (selfuse/10kwh battery),3840,Estonia,SE,958,Yesterday,82346,MiaSole MS120GG,SOFAR 2200TL-G3,18.9,59.403118,24.730139,Estonia
Linklater,5960,KW17,S,1925,Yesterday,47484,PV,Fronius Primo 8.2,19.5,59.070916,-3.280108,United Kingdom
Granholt,13710,Norway,SW,2044,Yesterday,62873,LG 340  LG 385 Ja Solar 320,Solaredge SE15K and SE3680H,15.0,59.128623,10.24649,Norway
WZ64,3050,Norway,SW,790,96 weeks ago,74754,Solitek Solitek Standard M. 60,Ginlong Solis-1P3.6K-4G,5.0,59.198022,10.961148,Norway
AtorpSolberga,10240,Sweden,W,1432,Yesterday,76953,FUTURA SUN 320 M,FRONIUS SYMO 10.0-3-M,21.1,59.102777,16.243672,Sweden
OA-10,7280,Sweden,S,1426,5 weeks ago,71019,TrinaSolar TSM-DC05A.05,SamilPower SolarLake 5500TL-PM,7.6,59.270015,17.79664,Sweden
Skomakartorp 26  Ekero,4320,Sweden,S,2806,Yesterday,47133,Solibro SL-135,SolarEdge SE7K,8.8,59.271649,17.816875,Sweden
Skomakartorp 30,14430,Sweden,S,811,Yesterday,89467,Trina Solar Vertex S,SolarEdge SE17K,8.8,59.271188,17.817442,Sweden
Segeltorp,9800,Sweden,SE,2161,Yesterday,56510,Suntech 280,Solaredge,14.7,59.275465,17.924077,Sweden
johanlundstrom,8208,Sweden,SE,1883,Yesterday,66336,Suntech 300W POLY CRYSTALLINE,Fronius Symo 8.2-3-M,22.4,59.233609,18.067629,Sweden
Gustavsbergsvägen,10150,Sweden,SW,1964,Yesterday,64229,Phono solar,SolarEdge SE8K,24.9,59.22043,18.1093,Sweden
Workshop Fronius,6000,KW17,S,2022,Yesterday,51863,SolarWorld,Schuco 1700,1.9,59.04,-3.0,United Kingdom
SSV16 - Stavanger - NORWAY,2655,Norway,SE,2003,Yesterday,62981,IBC MonoSol 300 ZX5 Black,Fronius Symo 3.0-3-m,24.2,58.905092,5.729371,Norway
UBV28,3600,Norway,S,437,Yesterday,90295,Sunwind Grid 360,GroWatt,25.0,58.893021,5.729209,Norway
Larsbo Bjurstorp,7320,Sweden,SE,2523,Yesterday,52130,JA Solar JAP6-72-320/4BB,Fronius 10.0-3-M,0.7,59.02999,16.254713,Sweden
peter77,9600,Sweden,SW,2220,Yesterday,44765,Solyco R-TG 108p.3/400,Fronius,5.0,59.061581,17.970658,Sweden
Toppvagen 12,5145,Sweden,S,3033,23 weeks ago,35917,Hanwha Solar SF220-30-1P245L,Enphase M215,16.6,58.882847,17.839062,Sweden
Madise tuulik,4520,Estonia,S,4058,Yesterday,58330,Solar world black 280,SMA Windy boy 3600TL 21,14.1,58.914353,23.65289,Estonia
Vibevegen 3,5100,Norway,SE,1228,61 weeks ago,70513,,Solis,2.8,58.787977,5.713288,Norway
DarkleSol,860,Estonia,SE,1930,Yesterday,62116,Yingli,Iconica 3KVA Plus,11.9,58.800606,25.423963,Estonia
reaypv,4000,KW14,S,3701,2 days ago,34174,                     canadian cs5p-200m,fronius IG TL,8.0,58.556367,-3.782086,United Kingdom
Holmen 104 Øst,12000,Norway,E,504,53 weeks ago,85506,Hanwha Q-Cells QPeak 300W,Ginlong Solis 3P12K-4G,5.1,58.609675,6.0937,Norway
Holmen 104 Sør Vest,13500,Norway,SW,508,55 weeks ago,85544,Hanwha Q-Cells QPeak 300W,Ginlong Solis 3P10K-4G,5.1,58.609655,6.093721,Norway
Villa i Lidköping,12825,Sweden,SE,2157,Yesterday,64306,Perlight PLM 285W-60M,SAJ SunTrio Plus 10K,19.8,58.528954,13.121335,Sweden
Knottorp Fronius 8.2-3-m,8580,Sweden,S,1418,Yesterday,77076,,Fronius 8.2-3-m ,20.0,58.422572,14.17099,Sweden
8SG8Motala,3240,Sweden,E,3843,Yesterday,64364, YINGLI YL270C,SMA Sunny Boy 3000,3.5,58.564515,15.08741,Sweden
Fronius 10,12285,Sweden,S,1860,Yesterday,66791,Eurener MEPV 315,Fronius Symo 10,7.2,58.536213,15.038621,Sweden
fordonet,12800,Sweden,W,2362,Yesterday,54301,PPAM Palladium,SMA Tripower 15000,20.5,58.424753,15.782086,Sweden
Greenh50,9930,Sweden,SE,1428,Yesterday,76682,Eurener MEPV330,SYMO 8.2-3-M,21.5,58.46399,15.643295,Sweden
Furingstadsvagen12,15360,Sweden,SW,707,162 weeks ago,82335,Windon,Windon LT15HD,22.2,58.5801,16.296308,Sweden
Sarghaua elektrijaam,11440,Estonia,S,2783,Yesterday,43888,Suntellite ZDNY-260CB60 ,Fronius Symo 10.0-3-M,15.8,58.656697,25.240457,Estonia
Clashnessie Sutherland,4000,IV27,SW,779,Yesterday,81877,Pangea Systems 8.33,Aurora,19.6,58.221935,-5.314357,United Kingdom
Grimstad,5300,Norway,S,1890,43 weeks ago,51750,IBC PolySol 260CS,fronius primo 4.6-1,12.4,58.340981,8.580877,Norway
Börsås,12800,Sweden,SE,1145,Yesterday,83200,Heckert Solar NeMO,Fornius 12.5-3-M,22.0,58.366285,11.616669,Sweden
Olles solfarm,22990,Sweden,E,1531,Yesterday,74255,astronergy,Fronius,3.9,58.383921,11.994721,Sweden
Keflavik28,9905,Sweden,SW,2246,Yesterday,58247,Heckert nemo 2.0 60M,Fronius Symo 6.0-3M,13.9,58.3252,12.275559,Sweden
Gokottevagen,9150,Sweden,S,1697,Yesterday,74945,Longi Solar LR6-60PB-305M,SolarEdge SE7K-RW0TEBNN4,18.6,58.281534,12.318297,Sweden
Gokottevagen1,9150,Sweden,S,1697,Yesterday,100160,Longi Solar LR6-60PB-305M,SolarEdge SE7K-RW0TEBNN4,18.6,58.281455,12.318361,Sweden
Rutenhjelms Elektriska AB,38016,Sweden,S,3207,Yesterday,39760,= 120xSF170-S + 72xLG245S1K-G3,ABB Aurora TRIO-20.0-TL,20.3,58.330202,13.216779,Sweden
JP's solar farm,16120,Sweden,S,2406,Yesterday,55179,EC Solar,Fronius 8 2,10.7,58.411956,13.875025,Sweden
hjosweden,13400,Sweden,S,2108,Yesterday,61240,LG NeON2 LG335N1C-A5 - 335Wp,SolarEdge SE17k,16.6,58.30958,14.273054,Sweden
Vikingstad Fronius,12200,Sweden,SW,1733,Yesterday,69823,JA-Solar,Fronius 12.5-3,1.8,58.382864,15.373082,Sweden
Sjöglimten,11592,Sweden,S,1572,Yesterday,73220,SolarWatt,SMA TriPower,10.4,58.443228,15.475714,Sweden
Vicker,3825,Sweden,SE,1063,151 weeks ago,24266,PVE-225,SMA Sunny Boy 4000TL,14.9,58.404703,15.594461,Sweden
Villa Strand,13640,Sweden,S,833,159 weeks ago,58605,Sharp,SMA Sunny,16.6,58.49786,15.518264,Sweden
Gransbov32,10800,Sweden,S,1902,Yesterday,58081,Recom Solar Black Panther,Fronius Symo 10.0-3-M,16.6,58.497843,15.518415,Sweden
Kahu-Jaani,17600,Estonia,S,1239,Yesterday,88074,Canadian Solar CS3W-MS 440 ,Fronius Symo 15.0-3-M,18.0,58.241626,25.345454,Estonia
Termotuumajaam,6900,Estonia,S,1351,Yesterday,78900,,Fronius Symo 6.0,7.6,58.344506,26.717806,Estonia
Dvergsnessvingen160,3520,Norway,EW,2345,Yesterday,55010,Benq SunForte PM096B00,SolarEdge SE3000H,11.4,58.128399,8.07389,Norway
Björkbacken,21600,Sweden,EW,2609,Yesterday,51302,Bisol,SolarEdge,12.0,58.120984,11.70423,Sweden
Uppstugan,13440,Sweden,SW,3083,Yesterday,41515,JASolar JAM6(L)-60-280/PR,Fronius Symo 12.5-3-M,17.1,58.060462,11.730253,Sweden
callebo,5760,Sweden,S,4013,Yesterday,22241,JA-240W,Solar Edge SE7000,18.5,58.048478,11.74195,Sweden
Roreviken,11840,Sweden,EW,1379,Yesterday,77912,Solar edge,SolarEdge,19.3,58.046343,11.755843,Sweden
Hövikstrand,7840,Sweden,S,2127,137 weeks ago,42561,JASolar JAM6(L)-60-280/PR,Fronius Symo 7-3-M,21.4,58.020573,11.757448,Sweden
Gullvivevägen,11900,Sweden,W,1169,Yesterday,82770,Suntech,SolarEdge,22.8,58.063791,11.854519,Sweden
Bergstena Backgarden,7200,Sweden,SE,3690,Yesterday,28413,JA Solar JAP6-60 240W,SMA 6000 TL20,23.1,58.044288,12.651605,Sweden
Herrekvarn,27300,Sweden,N,1657,58 weeks ago,58919,PPAM,SMA Tripower,13.2,58.056313,13.870852,Sweden
Superautomatic Solar,8960,Sweden,SE,1495,Yesterday,75377,JA Solar,Fronius Symo 8.2-3-M,5.2,58.20891,14.808595,Sweden
Bjorktomta,8910,Sweden,S,2860,Yesterday,46706,PPAM Onyxium 330,SMA Sunny Tripower 10000TL-10,7.0,58.175388,15.712778,Sweden
Carlsborg,18700,Sweden,SE,2097,Yesterday,61287,Winaico,SolarEdge ,19.4,58.001755,16.291062,Sweden
Testanläggning / Garaget,2925,Sweden,SW,634,Yesterday,91920,,Steca Solarix PLI 5000-48,1.7,57.937206,11.808683,Sweden
Östergårdsgatan,12250,Sweden,SE,1242,Yesterday,81789,Longi,SolarEdge,12.7,57.853178,11.906819,Sweden
CellSolar Redbo,17680,Sweden,S,1090,Yesterday,89719,Suntech Mono 520,SolarEdge SE16K,16.0,57.852955,11.990966,Sweden
Faglevik,11220,Sweden,S,2859,Yesterday,46540,BenQ,SolarEdge,22.7,57.745414,11.792574,Sweden
SweetAsSolar,15600,Sweden,SE,738,Yesterday,90084,Sverigepanelen,Fronius Gen24 10.0 Plus,24.8,57.737359,11.917897,Sweden
Hokhults solcellspark,12960,Sweden,SW,3497,Yesterday,33870,Yingli,SMA TL 12 000,14.0,57.82732,12.659223,Sweden
Eriksgarden9,23660,Sweden,SW,2935,Yesterday,36595,kioto ,Symo 12.5-3-M,18.1,57.810932,12.760755,Sweden
Snowball Road Solar Centre,11970,Sweden,S,2864,Yesterday,46026,ECSolar ECS-315M72,SolarEdge,11.2,57.858522,14.139373,Sweden
Clovenside,2750,IV36,SW,3321,Yesterday,11842,Axitec,Enphase M215,25.0,57.61269,-3.602275,United Kingdom
TALKs,4000,AB54,SW,3382,103 weeks ago,14745,,GCI-3.6K,22.5,57.558086,-2.630911,United Kingdom
Affric Place lg 300 mono neon,3600,AB43,S,3041,Yesterday,37543,Lg Mono x Neon B3,Solis,23.6,57.685989,-2.023521,United Kingdom
Die Deutsche und der Dackel,10500,Sweden,SE,1921,Yesterday,65225,Suntech STP300S - 20/ Wfb,Fronius  Symo 10.0-3-M,0.7,57.738949,12.051928,Sweden
Ungmästaregatan,7020,Sweden,S,1851,Yesterday,75664,Qcells,Fronius ,1.4,57.745231,12.048453,Sweden
Ellösgatan Gbg,13975,Sweden,SE,3312,42 weeks ago,30325,AUO SunForte PM096B00,SMA STP12000-10,1.9,57.719267,12.044224,Sweden
GBGSMA1,7830,Sweden,S,1551,165 weeks ago,46901,Axitec GmbH AC-270M/156-60S,SMA Sunny Tripower 8000TL-20,4.1,57.715359,12.000901,Sweden
Ängårdskolonin,8100,Sweden,S,489,Yesterday,95238,405 W Mono,Sungrow SG6,7.8,57.686611,11.962926,Sweden
Lottis Chicken Shack,200,Sweden,S,638,Yesterday,93054,Unknown,Epever,7.8,57.686691,11.962743,Sweden
Planet4,3120,Sweden,N,1892,Yesterday,65159,Canadian Solar,Fronius,10.0,57.65731,12.146958,Sweden
Hinsholmen,11250,Sweden,S,1052,Yesterday,81615,,Ferroamp,13.7,57.666156,11.867638,Sweden
EspasSwe,9010,Sweden,W,3853,54 weeks ago,34762,Yingli yl-265,SMA 8000TL-10,14.8,57.601744,12.094732,Sweden
Högkullevägen,16000,Sweden,EW,738,Yesterday,91155,TBD,Huawei,14.9,57.601566,12.100866,Sweden
NorraHultavagen,11258,Sweden,S,481,Yesterday,96236,Euorener,Ferroamp,24.5,57.524678,11.931539,Sweden
Tomros,5120,Sweden,SW,2104,Yesterday,61397,Jinko,Solaredge,9.8,57.768659,13.822786,Sweden
Gebhard Solar Array,5670,Sweden,S,1989,100 weeks ago,46880,Einnova Solarline ESM 315,SMA Sunny Tripower 5000TL-20,10.7,57.668108,14.346311,Sweden
High Street  Rothes,4000,AB38,SE,3617,Yesterday,29332,Antaris M6 250,Enphase,20.1,57.48,-3.22,United Kingdom
Wheatland,4060,AB41,S,2357,56 weeks ago,58619,JA Solar,Solis ,20.9,57.339041,-2.19178,United Kingdom
Pittrichie,4500,AB21,S,980,Yesterday,51963,Not sure,Samil 4500,23.9,57.318979,-2.24061,United Kingdom
Eversolar RA9,3200,1000,S,4009,5 weeks ago,15056,EverSolar ZNSHINE ,Eversolar TL3000-11,15.5,57.442398,10.507592,Denmark
Granvej,3000,9300,S,2119,79 weeks ago,19512,Unknown,Eversolar 3000,23.6,57.3333,10.5333,Denmark
Ängsjödal,4760,Sweden,E,2294,Yesterday,56856,JA Solar,Solaredge SE5K,8.3,57.547547,12.454946,Sweden
Villa_Seraljen,17820,Sweden,EW,486,Yesterday,96514,LONGI LR5-54HIB 405,Solaredge/SE17K,23.2,57.401115,12.007424,Sweden
Bridgefoot World,4000,AB52,S,4563,Yesterday,49888,?,Aurora PVI-3.6-OUTD-UK -,5.6,57.34,-2.6,United Kingdom
clinterty Solar,2500,AB21,W,1974,84 weeks ago,50306,JA SOLAR 250W,Solar River,20.4,57.186379,-2.274844,United Kingdom
Not So Sunny Boy Aberdeen,2820,AB21,SE,1835,Yesterday,61982,Panasonic,SMA Sunny Boy 3000 HF,22.8,57.21,-2.2,United Kingdom
Pittrichie Charger,22330,AB21,S,580,Yesterday,94427,JA Solar,Victron RS 450/100 chargers,22.8,57.21,-2.2,United Kingdom
Felixnutella,4500,9490,S,921,19 weeks ago,51931,Yingli YL250c-30b,SMA SB 3300-1,18.8,57.214206,9.672818,Denmark
Flipper Power,16000,Sweden,E,1214,Yesterday,69687,PWM-250W,Growatt12KLT3-X SAJSuntrio 5K,24.9,57.173319,13.725068,Sweden
Inchukalns gigaplant,6400,Latvia,SW,643,Yesterday,91766,Trina Vertex Mono 400W,Growatt MOD 5000TL3-X,24.5,57.098214,24.686451,Latvia
NBC,6750,AB34,SW,2402,Yesterday,54716,SolarWorld AG,SolarEdge,10.2,57.09,-2.81,United Kingdom
CharlestownCircle,5600,AB12,S,436,Yesterday,101031,Foxess,foxess,4.9,57.1,-2.11,United Kingdom
IanJohnston.com,4320,AB39,S,1011,Yesterday,56414,Sapphire Solar,Bosch BPT,13.1,56.97,-2.21,United Kingdom
AberDinoPV,3430,AB39,SE,4332,Yesterday,10003,Hyundai HiS-S245MG (BK),Power-One Aurora PVI-3.0-OUTD,21.3,56.896335,-2.214077,United Kingdom
Growatt-mn230,5760,9440,E,2857,Yesterday,44704,,Grawatt 3000,7.9,57.15,9.75,Denmark
Ternevej 10,4000,9440,SE,4172,Yesterday,13296,Yingli Black panda,Sma 3000tl-21,8.4,57.159794,9.727962,Denmark
beechswung,5500,9430,S,1795,Yesterday,68419,LUXOR,Fronious,11.3,57.1167,9.8667,Denmark
PHJ Solar,3800,9240,SW,2956,174 weeks ago,16904,Trina TSM-190DC01a.05/Comax,SMA Sunny Boy 3000TL-21,12.3,56.979228,9.646008,Denmark
MB Solar Nibe,3800,9240,S,4209,Yesterday,67506,Trina Solar TSM-190 DC01.A.05,SMA SunnyBoy 3000,13.4,56.970232,9.636808,Denmark
Æblevangen,16340,9000,EW,379,Yesterday,99132,Hyundai G12 PERC Shingled,Growatt SPH 10000 TL3 BH-UP,14.7,57.048,9.9187,Denmark
SolKraft,10920,9530,S,4151,Yesterday,16065,ZNShine,SMA STP 8000TL-20,18.4,56.932157,9.793711,Denmark
WIRENFELDT,4800,9530,S,3227,Yesterday,36640,Alafasolar,Eneqsys SMI-D480,24.3,56.8854,9.8384,Denmark
CellMaster,6000,9280,S,3645,Yesterday,25218,Ulica Solar,GroWatt,24.9,57.0,10.1,Denmark
Marupe 5250w,5250,Latvia,SE,535,12 weeks ago,55504,Canadian Solar CS3L,Huawei SUN2000-6KTL-M1,23.0,56.891613,24.059104,Latvia
Henning B983000A12640029,3000,7900,S,2244,Yesterday,56785,Feiyue Solar Stingray Black,TL-3000,22.0,56.7625,8.6917,Denmark
Henning B983000A12640072,3000,7900,S,2246,Yesterday,56784,Feiyue Solar Stingray Black,TL-3000,22.0,56.7625,8.6917,Denmark
Henning Inv1 + Inv2,6000,7900,S,590,Yesterday,56786,Feiyue Solar Stingray Black,TL-3000,22.0,56.7625,8.6917,Denmark
MBoerre,15600,9640,S,519,Yesterday,95727,Risen RSM40-8-390MB,GROWATT MID 11KTL3-X,11.2,56.795031,9.29511,Denmark
Haraldsvej7,3000,1000,S,2242,Yesterday,12828,Zn Shine solar,Eversolar TL-3000,14.9,56.766297,9.326975,Denmark
Skovkrogen3,5000,1000,S,4088,Yesterday,16914,UnKnown,Solivia G4,8.7,56.885486,10.10636,Denmark
Tisted Skolevej 5 - west,4290,9510,S,4018,Yesterday,10793,Solar Innova Monokrys 195 Wp,Sunny Boy 3000HF,11.3,56.777013,10.03246,Denmark
Tisted Skolevej 5 - East,3900,9510,S,4014,Yesterday,10792,Solar Innova Monokrys 195 Wp,Sunny Boy 3000HF,11.3,56.777004,10.032464,Denmark
Tisted Skolevej 5 Total,8190,9510,S,4261,Yesterday,10791,Solar Innova Monokrys 195 Wp,Sunny Boy 3000HF,11.3,56.77689,10.032407,Denmark
Chris_t,3000,9510,S,1890,108 weeks ago,22101,ullica,sma sunny boy 3000 tl-21 rpc,12.7,56.7667,9.8833,Denmark
Bettyvej 17,6240,9280,S,2982,171 weeks ago,29826,Sunset Panel Type PX260/60,SMA Sunny Boy SB3000,16.8,57.005554,10.093245,Denmark
Hyldal Moellevej 4 2/2,4000,9541,S,2668,147 weeks ago,15602,a,Eversolar TL3000,18.8,56.835409,9.661916,Denmark
Hyldal Moellevej 4 1/2,4000,9541,S,3059,Yesterday,15601,a,Eversolar TL3000,18.8,56.835382,9.661843,Denmark
