name,system_DC_capacity_W,address,orientation,num_outputs,last_output,system_id,panel,inverter,distance_km,latitude,longitude,country
LT0602,7800,Hungary,S,1778,Yesterday,68996,Q-cell,FRONIUS,19.7,47.093764,17.908799,Hungary
KI-5kW,4920,Hungary,SE,3121,61 weeks ago,43454,SolarTehnika,Huawei SUN2000-4KTL-M1,21.3,47.149867,17.952112,Hungary
Adam Home,4240,Hungary,SW,2406,Yesterday,55389,NeMo 60P265,Fronius,21.3,47.085656,17.927553,Hungary
WDBoti - Szfvár,11400,Hungary,SW,723,Yesterday,91477,Jolywood JW-HD120N,Fronius Symo 15.0-3-M,9.9,47.202866,18.422474,Hungary
kircsi SFV,5330,Hungary,SE,1446,Yesterday,76349,CanadianSolar CS3W-410P,Fronius Symo 6.0-3-M,9.9,47.189341,18.431003,Hungary
Yellow Szfvar,4725,Hungary,SW,1761,Yesterday,68980,JA Solar JAM60S01 315/PR,Fronius Symo 5.0-3-M,11.9,47.190938,18.456646,Hungary
DinoSolar Szfvár,4125,Hungary,SE,1888,Yesterday,75147,Sharp ND-RB 275,Fronius Symo 3.7-3-M,12.9,47.214684,18.459006,Hungary
Solaredge Heged?s,4200,Hungary,SE,1802,Yesterday,69204,Boviet,Solaredge HD Wave 4000,22.7,47.080732,18.030808,Hungary
vp,7510,Hungary,SW,3121,2 days ago,51728,mixed,Fronius Symo 6.0-3 M,22.1,47.027196,19.78015,Hungary
antmik Fronius,4680,Hungary,EW,1752,Yesterday,57322,Hyundai,Fronius Primo 3.0-1,4.0,47.17336,20.151882,Hungary
Blaskosolar,11000,Hungary,SE,1503,2 days ago,75094,SHARP  NDRK 275,SMA Sunny Tripower 9000TL-20,23.3,46.955683,20.208032,Hungary
MihaiG,4680,Moldova,S,1157,119 weeks ago,51965,Recom,MPI4K,13.9,47.14276,28.613238,Moldova
mx home,2960,France,SW,1812,9 days ago,1546,French Energy,SMA SB3000TL,22.6,46.751054,-1.612801,France
Lencloître,2040,France,SW,1551,Yesterday,87040,Risen,Envertec 300,17.7,46.805839,0.317445,France
pvsouy,2205,France,S,484,126 weeks ago,78145,SARONIC,WVC,21.6,46.775142,0.342121,France
SolarMach,12000,France,SW,1313,Yesterday,79679,Solon,SMA,9.5,47.025601,2.168341,France
Aloaha Enecsys 2000013362,2340,Switzerland,S,3289,Yesterday,36957,Aloaha Dataservices.Solar,Enecsys 480dual/360single (12),18.9,46.817983,6.997138,Switzerland
Cottens Brévires,9800,Switzerland,SW,2090,Yesterday,61199,SolarWorld 280W Mono,SolarEdge SE10K,22.8,46.759562,7.040176,Switzerland
Villa Longchamp,6600,Switzerland,S,462,Yesterday,97174,aleo solar S83T330,Fronius Symo 6.0-3-M,24.5,46.755056,7.003655,Switzerland
Solarbalkon Kiesen,750,Switzerland,S,538,Yesterday,96240,SunMan SMF375M,Deye SUN600G3,21.2,46.820148,7.580915,Switzerland
PVA Bosco,7200,Switzerland,S,1049,Yesterday,85281,3S Solar Plus Megaslate II,Solar Edge SE7K-ER-01,24.0,46.772364,7.605388,Switzerland
Biel-Kinzig,8880,Switzerland,SW,3191,Yesterday,31906,3S,SolarEdge SE10k,22.8,46.900507,8.706119,Switzerland
AUEN 1oben,2100,Switzerland,SW,2855,128 weeks ago,80326,BenQ,SMA Sunny Boy 2000,3.6,46.978138,9.068722,Switzerland
Solaranlage A.Hoermann,8000,39039,S,2714,Yesterday,48999,Samsung,Solarmax,23.4,46.7403,12.1703,Italy
PV-Saalen,6400,39030,SW,598,Yesterday,93798,Jinko,ZCS Azurro 6000,24.8,46.8024,11.9538,Italy
JoglsPV,2640,Austria,SW,1561,62 weeks ago,57241,Sanyo ,SMA SB300 TL20,9.8,46.891757,15.252769,Austria
HSS56,510,Austria,S,3629,Yesterday,28919,Yingli YL255P-29b,Enecsys SMI-D480W-60-DE,13.1,47.054482,15.428636,Austria
Toelg Wettmannstaetten,9960,Austria,SW,390,Yesterday,97739,Longi LRS-54HIH-415SM,Growatt SPH,14.1,46.824779,15.385113,Austria
Wippelsach 47,5200,Austria,EW,1149,Yesterday,83432,Kyocera,Fronius,23.0,46.750208,15.431489,Austria
Wippelsach 55,3200,Austria,S,1171,Yesterday,82859,Solarwatt,Fronius,23.4,46.746687,15.43217,Austria
Bigmork roof,6720,Hungary,S,3233,Yesterday,39405,GS Power,Fronius,11.3,46.849011,16.590783,Hungary
Bigmork,4800,Hungary,SE,3911,Yesterday,27412,ZNShine / ZXP-240,Fronius IG-TL 4.0,11.4,46.848511,16.590998,Hungary
Bigmork SUM,11520,Hungary,S,2925,25 days ago,45088,GS POWER,Fronius IGTL 4.0|IG PLUS 60V-2,11.4,46.848335,16.591169,Hungary
Zala_Freedom,2520,Hungary,S,2503,Yesterday,54212,LG LG315N1C-G4,Fronius Galvo 2.0-1,19.3,46.805906,17.101218,Hungary
Föls?csend,3990,Hungary,W,1514,Yesterday,75056,Exe Solar A-EXP 285,Fronius Symo 6.0-3-M,9.9,47.014235,17.963044,Hungary
ABB Aurora_,2530,Hungary,SW,1336,Yesterday,78733,Kioto,ABB Aurora 2.5,12.3,46.883075,17.743435,Hungary
GH_Sunny,6600,Hungary,S,2044,Yesterday,62756,JA Solar JAM6(K)-60-300,Fronius Symo 6.0-3-M WLAN 2MPP,15.5,46.899353,18.063144,Hungary
kunpeszer,1800,Hungary,S,2408,Yesterday,54298,Sharp,Growatt,15.5,47.060447,19.257371,Hungary
Kiru,5580,Hungary,SW,1762,Yesterday,69404,Q-cells Q.peak-G5.1,Fronius Symo 4.5-3M,23.5,46.804768,19.359756,Hungary
LI-Kecskemet,3600,Hungary,S,379,Yesterday,99192,Sharp,Fronius Symo 5.0-3-M,9.1,46.934054,19.646564,Hungary
Radaia-Cluj-1,8640,Romania,S,560,Yesterday,94413,,Growatt 5000ES,17.5,46.802788,23.465102,Romania
Luna275,5400,Romania,E,627,Yesterday,87929,CanadianSolar  HiKu CS3W-450,Growatt SPF5000ES,24.6,46.744945,23.426392,Romania
BBess,3000,France,S,1985,Yesterday,87221,Systovi,Enphase IQ,11.7,46.659124,0.381196,France
PaciSunny,2492,France,SE,2075,149 weeks ago,8061,Inconnu,SMA Sunny Boy 2500HF,17.3,46.718725,0.263726,France
Desnes,2240,France,SW,2502,Yesterday,53320,Bisol BMO-300,Enphase M250,4.5,46.763724,5.474549,France
La Vignetta 41,11880,Switzerland,E,1468,Yesterday,76023,Axitec AC-330MH/120S,Fronius Symo 10.0-3-M,10.8,46.700496,6.902397,Switzerland
Le Jordil 3,10240,Switzerland,S,1468,Yesterday,76261,Axitec AC-320MH/120S,Fronius Symo 10.0-3-M,11.1,46.68778,6.898873,Switzerland
Le Jordil 5,10240,Switzerland,S,1472,Yesterday,76262,Axitec AC-320MH/120S,Fronius Symo 10.0-3-M,11.1,46.687721,6.898841,Switzerland
Le Jordil,20480,Switzerland,S,1470,Yesterday,76296,Axitec AC-320MH/120S,2x Fronius Symo 10.0-3-M,11.1,46.687745,6.898868,Switzerland
Villaz-St-Pierre,11220,Switzerland,EW,3007,9 weeks ago,41754,Bisol,Solaredge 10K,14.4,46.725746,6.958879,Switzerland
Solar Consult,13200,Switzerland,SW,2104,Yesterday,61528,Eurener Turbo 300,Enphase M250,19.0,46.737332,7.01946,Switzerland
SolarEdgeLCCHVD,6480,Switzerland,SE,593,Yesterday,94332,Trina Solar Energy TMS-405DE09,SolarEdge SE7K-RW0TEBEN4,19.9,46.580088,6.636397,Switzerland
Penthalaz,35200,Switzerland,EW,3501,18 days ago,31421,Solar-Fabrik,SolarMax,22.5,46.614457,6.53207,Switzerland
Solar-Bally,9500,Switzerland,N,2538,Yesterday,50436,ISOFOTON/ISF-250,Enecsys/SMI-D480W-60-DE,24.5,46.519714,6.693496,Switzerland
VoltDroid3000,3120,Switzerland,E,2825,Yesterday,48250,Yingli YL260c-30bblack,SMA Sunny Boy 3000,24.5,46.641748,6.477375,Switzerland
Kasti,6000,39020,S,668,Yesterday,92640,I´m Solar,Fronius Symo 6.0,8.8,46.686524,11.073382,Italy
axpert48,5040,39040,SW,973,26 weeks ago,83115,peimar,axpert,22.8,46.59827,11.56929,Italy
SonnenTracker,3700,Austria,S,525,Yesterday,95134,Trina,Letrika & Hoymiles,17.9,46.616063,13.516579,Austria
HTL1 Klagenfurt Lastenstrasse,91800,Austria,E,2463,Yesterday,53361,KIOTO Solar 270,Fronius Symo 20.0-3-M,12.6,46.620235,14.315347,Austria
List1,14280,Austria,S,3338,2 days ago,68748,Q-Cells,SMA STP15000TL,12.5,46.777758,15.71222,Austria
SOLAREDGE DEJAN,14960,Slovenia,S,376,Yesterday,84760,SOLAREDGE,SOLAREDGE,14.8,46.601528,16.173018,Slovenia
olahtamas,5280,Hungary,S,1616,Yesterday,72505,CFSR-SP240W,Fronius Primo 5.0,20.1,46.741773,18.964517,Hungary
sol_varg,3300,Hungary,SW,389,Yesterday,98893,LUXoR SOLR M60-300W,Fronius Symo 4.5-3-S,12.3,46.673941,21.077271,Hungary
Rezsosolar,6050,Hungary,SE,1983,Yesterday,62568,Canadian Solar CS6K-275P,SolarEdge SE5k,13.1,46.679654,21.060717,Hungary
hbSolarRoof,9600,Switzerland,SW,1765,Yesterday,69290,SunPower MAX3-400,SolarEdge SE9k E-Series,5.5,46.468012,6.390283,Switzerland
Pikolo 3,4140,Switzerland,SW,3104,Yesterday,35848,Sunage SAM 54/6 LAM TRSP-230,Kostal Piko 3,6.1,46.491953,6.318824,Switzerland
Le Vaud  chemin du Clusel,3000,Switzerland,S,1069,80 weeks ago,15120,Bosch Solar Module c-Si M60,Sunny Box SB 3000HF-30,12.7,46.475021,6.234452,Switzerland
BassinsPelaz,5500,Switzerland,SE,2924,24 weeks ago,40625,Tarka VSMS-275-Voltec,Enphase M250,13.4,46.461911,6.233229,Switzerland
Mottey 1,3960,Switzerland,S,2628,Yesterday,26443,SES SwissTile,Enphase,16.2,46.523926,6.600434,Switzerland
Valire 12 - Villa Geneve,6840,Switzerland,S,1862,37 weeks ago,61225,S79L285 Aleo Solar,Microinverters,16.6,46.412914,6.234098,Switzerland
Couchant23,13680,Switzerland,SE,2357,Yesterday,55757,JinKO / Eagle PERC 60B,Delta,18.1,46.417886,6.201166,Switzerland
Vouvry,8400,Switzerland,SW,2012,16 days ago,63835,Qcell,Envoy,21.9,46.340821,6.889624,Switzerland
IW3AUT,4800,39055,SE,2603,Yesterday,51446,Bosch,SMA Sunny Boy 5000,11.8,46.41843,11.337564,Italy
CBMM,2900,33010,S,3154,8 weeks ago,34061,,Energy Monitor,8.5,46.4479,13.315,Italy
CjaseMe,5360,33010,SW,1678,Yesterday,60998,Aleo,Sunny,8.5,46.4479,13.315,Italy
Elvio Impianto Fotovoltaico,2900,33010,SW,3265,Yesterday,33957,,Energy Monitor,8.5,46.4479,13.315,Italy
fedo,6000,33010,SW,1528,Yesterday,68159,Panasonic Hit,Fronius Primo 6.0.1,8.5,46.4479,13.315,Italy
BUNGALOWS SONNENHANG,29400,Austria,SW,1060,5 weeks ago,53365,REC 245PE,SMA STP10000TL-10,8.6,46.589364,14.563236,Austria
MFE Lee,12960,Slovenia,SE,2915,Yesterday,27131,CS,Solaredge 15k,15.1,46.398598,15.865428,Slovenia
SE Novak,3080,Croatia,SW,2606,Yesterday,51622,Bisol Premium BMO-280,Conversol A9 (PIP-3024GK),15.8,46.3761,16.389253,Croatia
Sziszak Home (5.1 - 6.9),6900,Hungary,S,1649,Yesterday,70191,Canadian Solar Cs3K,Fronius Symo 6.03M,19.9,46.419794,16.805266,Hungary
F27,5940,Hungary,SW,1879,Yesterday,66483,Suntech,Fronius symo 6.0-3-m,17.9,46.406056,17.8149,Hungary
Szocsenyi Solar,3705,Hungary,S,1897,2 days ago,66029,Hanwha Qcells Qplus BFR-G4.1,Fronius Primo 4.0-1 WLAN,24.9,46.406411,18.61643,Hungary
KKMSZT21_SUMM,5635,Hungary,N,1894,Yesterday,65523,Phono Solar PS240P-20/U,GROWATT_1500TL  GROWATT 440TL,16.8,46.489087,19.739182,Hungary
Bond,3900,Hungary,S,1579,Yesterday,44090,Q.Cells,Fronius Primo 3.6-1,16.8,46.368342,20.114433,Hungary
chmihu_1,3500,Hungary,S,2069,Yesterday,61564,ZNShineSolar ZXP6-60-250/P,Growatt 3000 TL,16.4,46.414056,20.622562,Hungary
Manu0171/AURA/01,6410,France,SW,564,Yesterday,94978,ECO-400M-66SA+S395VG+Munchen,2 WKS EVO1+1SRNE Controller,23.0,46.234651,5.047844,France
slyceze,3000,France,S,3872,Yesterday,24283,Imerys,SMA Sunny Boy 3000,14.7,46.176534,5.32677,France
